Country,Capital,Population
Andorra,Andorra la Vella,"77,006"
United Arab Emirates,Abu Dhabi,"9,630,959"
Afghanistan,Kabul,"37,172,386"
Antigua and Barbuda,St. John's,"96,286"
Anguilla,The Valley,"13,254"
Albania,Tirana,"2,866,376"
Armenia,Yerevan,"2,951,776"
Angola,Luanda,"30,809,762"
Antarctica,,0
Argentina,Buenos Aires,"44,494,502"
American Samoa,Pago Pago,"55,465"
Austria,Vienna,"8,847,037"
Australia,Canberra,"24,992,369"
Aruba,Oranjestad,"105,845"
Åland,Mariehamn,"26,711"
Azerbaijan,Baku,"9,942,334"
Bosnia and Herzegovina,Sarajevo,"3,323,929"
Barbados,Bridgetown,"286,641"
Bangladesh,Dhaka,"161,356,039"
Belgium,Brussels,"11,422,068"
Burkina Faso,Ouagadougou,"19,751,535"
Bulgaria,Sofia,"7,000,039"
Bahrain,Manama,"1,569,439"
Burundi,Gitega,"11,175,378"
Benin,Porto-Novo,"11,485,048"
Saint Barthélemy,Gustavia,"8,450"
Bermuda,Hamilton,"63,968"
Brunei,Bandar Seri Begawan,"428,962"
Bolivia,Sucre,"11,353,142"
"Bonaire, Sint Eustatius, and Saba",,"18,012"
Brazil,Brasilia,"209,469,333"
Bahamas,Nassau,"385,640"
Bhutan,Thimphu,"754,394"
Bouvet Island,,0
Botswana,Gaborone,"2,254,126"
Belarus,Minsk,"9,485,386"
Belize,Belmopan,"383,071"
Canada,Ottawa,"37,058,856"
Cocos (Keeling) Islands,West Island,628
DR Congo,Kinshasa,"84,068,091"
Central African Republic,Bangui,"4,666,377"
Congo Republic,Brazzaville,"5,244,363"
Switzerland,Bern,"8,516,543"
Ivory Coast,Yamoussoukro,"25,069,229"
Cook Islands,Avarua,"21,388"
Chile,Santiago,"18,729,160"
Cameroon,Yaounde,"25,216,237"
China,Beijing,"1,392,730,000"
Colombia,Bogota,"49,648,685"
Costa Rica,San Jose,"4,999,441"
Cuba,Havana,"11,338,138"
Cabo Verde,Praia,"543,767"
Curaçao,Willemstad,"159,849"
Christmas Island,Flying Fish Cove,"1,500"
Cyprus,Nicosia,"1,189,265"
Czechia,Prague,"10,625,695"
Germany,Berlin,"82,927,922"
Djibouti,Djibouti,"958,920"
Denmark,Copenhagen,"5,797,446"
Dominica,Roseau,"71,625"
Dominican Republic,Santo Domingo,"10,627,165"
Algeria,Algiers,"42,228,429"
Ecuador,Quito,"17,084,357"
Estonia,Tallinn,"1,320,884"
Egypt,Cairo,"98,423,595"
Western Sahara,El-Aaiun,"273,008"
Eritrea,Asmara,0
Spain,Madrid,"46,723,749"
Ethiopia,Addis Ababa,"109,224,559"
Finland,Helsinki,"5,518,050"
Fiji,Suva,"883,483"
Falkland Islands,Stanley,"2,638"
Micronesia,Palikir,"112,640"
Faroe Islands,Torshavn,"48,497"
France,Paris,"66,987,244"
Gabon,Libreville,"2,119,275"
United Kingdom,London,"66,488,991"
Grenada,St. George's,"111,454"
Georgia,Tbilisi,"3,731,000"
French Guiana,Cayenne,"195,506"
Guernsey,St Peter Port,"65,228"
Ghana,Accra,"29,767,108"
Gibraltar,Gibraltar,"33,718"
Greenland,Nuuk,"56,025"
The Gambia,Banjul,"2,280,102"
Guinea,Conakry,"12,414,318"
Guadeloupe,Basse-Terre,"443,000"
Equatorial Guinea,Malabo,"1,308,974"
Greece,Athens,"10,727,668"
South Georgia and South Sandwich Islands,Grytviken,30
Guatemala,Guatemala City,"17,247,807"
Guam,Hagatna,"165,768"
Guinea-Bissau,Bissau,"1,874,309"
Guyana,Georgetown,"779,004"
Hong Kong,Hong Kong,"7,451,000"
Heard and McDonald Islands,,0
Honduras,Tegucigalpa,"9,587,522"
Croatia,Zagreb,"4,089,400"
Haiti,Port-au-Prince,"11,123,176"
Hungary,Budapest,"9,768,785"
Indonesia,Jakarta,"267,663,435"
Ireland,Dublin,"4,853,506"
Israel,Jerusalem,"8,883,800"
Isle of Man,Douglas,"84,077"
India,New Delhi,"1,352,617,328"
British Indian Ocean Territory,Diego Garcia,"4,000"
Iraq,Baghdad,"38,433,600"
Iran,Tehran,"81,800,269"
Iceland,Reykjavik,"353,574"
Italy,Rome,"60,431,283"
Jersey,Saint Helier,"90,812"
Jamaica,Kingston,"2,934,855"
Jordan,Amman,"9,956,011"
Japan,Tokyo,"126,529,100"
Kenya,Nairobi,"51,393,010"
Kyrgyzstan,Bishkek,"6,315,800"
Cambodia,Phnom Penh,"16,249,798"
Kiribati,Tarawa,"115,847"
Comoros,Moroni,"832,322"
St Kitts and Nevis,Basseterre,"52,441"
North Korea,Pyongyang,"25,549,819"
South Korea,Seoul,"51,635,256"
Kuwait,Kuwait City,"4,137,309"
Cayman Islands,George Town,"64,174"
Kazakhstan,Nur-Sultan,"18,276,499"
Laos,Vientiane,"7,061,507"
Lebanon,Beirut,"6,848,925"
Saint Lucia,Castries,"181,889"
Liechtenstein,Vaduz,"37,910"
Sri Lanka,Colombo,"21,670,000"
Liberia,Monrovia,"4,818,977"
Lesotho,Maseru,"2,108,132"
Lithuania,Vilnius,"2,789,533"
Luxembourg,Luxembourg,"607,728"
Latvia,Riga,"1,926,542"
Libya,Tripoli,"6,678,567"
Morocco,Rabat,"36,029,138"
Monaco,Monaco,"38,682"
Moldova,Chisinau,"3,545,883"
Montenegro,Podgorica,"622,345"
Saint Martin,Marigot,"37,264"
Madagascar,Antananarivo,"26,262,368"
Marshall Islands,Majuro,"58,413"
North Macedonia,Skopje,"2,082,958"
Mali,Bamako,"19,077,690"
Myanmar,Nay Pyi Taw,"53,708,395"
Mongolia,Ulaanbaatar,"3,170,208"
Macao,Macao,"631,636"
Northern Mariana Islands,Saipan,"56,882"
Martinique,Fort-de-France,"432,900"
Mauritania,Nouakchott,"4,403,319"
Montserrat,Plymouth,"9,341"
Malta,Valletta,"483,530"
Mauritius,Port Louis,"1,265,303"
Maldives,Male,"515,696"
Malawi,Lilongwe,"17,563,749"
Mexico,Mexico City,"126,190,788"
Malaysia,Kuala Lumpur,"31,528,585"
Mozambique,Maputo,"29,495,962"
Namibia,Windhoek,"2,448,255"
New Caledonia,Noumea,"284,060"
Niger,Niamey,"22,442,948"
Norfolk Island,Kingston,"1,828"
Nigeria,Abuja,"195,874,740"
Nicaragua,Managua,"6,465,513"
Netherlands,Amsterdam,"17,231,017"
Norway,Oslo,"5,314,336"
Nepal,Kathmandu,"28,087,871"
Nauru,Yaren,"12,704"
Niue,Alofi,"2,166"
New Zealand,Wellington,"4,885,500"
Oman,Muscat,"4,829,483"
Panama,Panama City,"4,176,873"
Peru,Lima,"31,989,256"
French Polynesia,Papeete,"277,679"
Papua New Guinea,Port Moresby,"8,606,316"
Philippines,Manila,"106,651,922"
Pakistan,Islamabad,"212,215,030"
Poland,Warsaw,"37,978,548"
Saint Pierre and Miquelon,Saint-Pierre,"7,012"
Pitcairn Islands,Adamstown,46
Puerto Rico,San Juan,"3,195,153"
Palestine,East Jerusalem,"4,569,087"
Portugal,Lisbon,"10,281,762"
Palau,Melekeok,"17,907"
Paraguay,Asuncion,"6,956,071"
Qatar,Doha,"2,781,677"
Réunion,Saint-Denis,"776,948"
Romania,Bucharest,"19,473,936"
Serbia,Belgrade,"6,982,084"
Russia,Moscow,"144,478,050"
Rwanda,Kigali,"12,301,939"
Saudi Arabia,Riyadh,"33,699,947"
Solomon Islands,Honiara,"652,858"
Seychelles,Victoria,"96,762"
Sudan,Khartoum,"41,801,533"
Sweden,Stockholm,"10,183,175"
Singapore,Singapore,"5,638,676"
Saint Helena,Jamestown,"7,460"
Slovenia,Ljubljana,"2,067,372"
Svalbard and Jan Mayen,Longyearbyen,"2,550"
Slovakia,Bratislava,"5,447,011"
Sierra Leone,Freetown,"7,650,154"
San Marino,San Marino,"33,785"
Senegal,Dakar,"15,854,360"
Somalia,Mogadishu,"15,008,154"
Suriname,Paramaribo,"575,991"
South Sudan,Juba,"8,260,490"
São Tomé and Príncipe,Sao Tome,"197,700"
El Salvador,San Salvador,"6,420,744"
Sint Maarten,Philipsburg,"40,654"
Syria,Damascus,"16,906,283"
Eswatini,Mbabane,"1,136,191"
Turks and Caicos Islands,Cockburn Town,"37,665"
Chad,N'Djamena,"15,477,751"
French Southern Territories,Port-aux-Francais,140
Togo,Lome,"7,889,094"
Thailand,Bangkok,"69,428,524"
Tajikistan,Dushanbe,"9,100,837"
Tokelau,,"1,466"
Timor-Leste,Dili,"1,267,972"
Turkmenistan,Ashgabat,"5,850,908"
Tunisia,Tunis,"11,565,204"
Tonga,Nuku'alofa,"103,197"
Turkey,Ankara,"82,319,724"
Trinidad and Tobago,Port of Spain,"1,389,858"
Tuvalu,Funafuti,"11,508"
Taiwan,Taipei,"22,894,384"
Tanzania,Dodoma,"56,318,348"
Ukraine,Kyiv,"44,622,516"
Uganda,Kampala,"42,723,139"
U.S. Outlying Islands,,0
United States,Washington,"327,167,434"
Uruguay,Montevideo,"3,449,299"
Uzbekistan,Tashkent,"32,955,400"
Vatican City,Vatican City,921
St Vincent and Grenadines,Kingstown,"110,211"
Venezuela,Caracas,"28,870,195"
British Virgin Islands,Road Town,"29,802"
U.S. Virgin Islands,Charlotte Amalie,"106,977"
Vietnam,Hanoi,"95,540,395"
Vanuatu,Port Vila,"292,680"
Wallis and Futuna,Mata Utu,"16,025"
Samoa,Apia,"196,130"
Kosovo,Pristina,"1,845,300"
Yemen,Sanaa,"28,498,687"
Mayotte,Mamoudzou,"279,471"
South Africa,Pretoria,"57,779,622"
Zambia,Lusaka,"17,351,822"
Zimbabwe,Harare,"14,439,018"